from,to
platzeck,spd
platzeck,kk
pofalla,cdu
pofalla,db
pofalla,kk
praetorius,kk
praetorius,kk
tillich,kk
tillich,cdu
hasselfeldt,drk
hasselfeldt,kk
hasselfeldt,cdu
kampeter,bda
kampeter,kk
kampeter,cdu
kapferer,bdew
kapferer,kk
kapferer,fdp
kempf,bdi
kempf,datev
kempf,kk
kempf,bitkom
nemat,telekom
nemat,kk
nemat,mckinsey
reiche,cdu
reiche,kk
reiche,vku
roestel,enbw
roestel,kk
roestel,gruene
schweitzer,diht
schweitzer,kk
schweitzer,alba
schweitzer,fdp
schweitzer,ihk
grothus,kk
grothus,bfb
wodtke,kk
wodtke,cdu
herntier,kk
herntier,spremberger
kreuzberg,kk
kreuzberg,cdu
priggen,kk
priggen,gruene
priggen,leenrw
vassiliadis,kk
vassiliadis,igbce
scheidt,verdi
scheidt,kk
scheidt,spd
scheidt,eon
koerzell,dgb
koerzell,kk
koerzell,spd
kaiser,kk
kaiser,greenpeace
weiger,kk
weiger,bund
niebert,kk
niebert,dnr
allmendinger,kk
allmendinger,iab
allmendinger,spd
allmendinger,wzb
schoenefeld,kk
schoenefeld,spd
schoenefeld,ba
matthes,kk
matthes,oekoinstitut
schellnhuber,kk
schellnhuber,klimafolge
schellnhuber,stockholm
schellnhuber,wbgu
schellnhuber,ipcc
niebuhr,kk
niebuhr,iab
wehrspohn,kk
wehrspohn,fraunhofer
laemmel,kk
laemmel,cdu
lenz,kk
lenz,cdu
miersch,kk
miersch,spd
