id,label,type,sex,age,party,representation,position,state,proclimate
platzeck,Matthias Platzeck,0,1,5,3,1,3,4,1
pofalla,Ronald Pofalla,0,1,4,2,1,3,10,2
praetorius,Barbara Praetorius,0,2,4,2,1,3,13,1
tillich,Stanislaw Tillich,0,1,4,1,4,3,3,2
hasselfeldt,Gerda Hasselfeldt,0,2,5,2,1,2,3,2
kampeter,Steffen Kampeter,0,1,4,2,2,2,10,1
kapferer,Stefan Kapferer,0,1,4,4,2,2,1,2
kempf,Dieter Kempf,0,1,5,1,2,2,2,2
nemat,Claudia Nemat,0,2,3,1,2,2,10,2
reiche,Katherina Reiche,0,2,3,2,2,2,4,2
roestel,Gunda Röstel,0,2,4,5,2,2,13,1
schweitzer,Eric Schweitzer,0,1,4,4,2,2,99,1
grothus,Antje Grothus,0,2,4,1,5,2,10,1
wodtke,Hannelore Wodtke,0,2,6,2,5,2,4,1
herntier,Christine Herntier,0,1,5,1,5,2,4,2
kreuzberg,Michael Kreuzberg,0,1,5,2,5,2,10,2
priggen,Reiner Priggen,0,1,5,5,5,2,10,1
vassiliadis,Michael Vassiliadis,0,1,4,3,3,2,10,2
scheidt,Andreas Scheidt,0,1,4,3,3,2,10,2
koerzell,Stefan Körzell,0,1,4,3,3,2,7,2
kaiser,Martin Kaiser,0,1,4,1,4,2,6,1
weiger,Hubert Weiger,0,1,6,1,4,2,2,1
niebert,Kai Niebert,0,1,3,1,4,2,9,1
allmendinger,Jutta Allmendinger,0,2,5,3,6,2,3,2
schoenefeld,Christiane Schönefeld,0,2,5,3,6,2,10,2
matthes,Felix Matthes,0,1,4,3,6,2,10,1
schellnhuber,Hans Joachim Schellnhuber,0,1,6,1,6,2,3,1
niebuhr,Annekathrin Niebuhr,0,2,4,1,6,2,2,1
wehrspohn,Ralf Wehrspohn,0,1,4,1,6,2,15,2
laemmel,Andreas Lämmel,0,1,5,1,6,2,14,2
lenz,Andreas Lenz,0,1,3,2,1,1,13,1
miersch,Matthias Miersch,0,1,4,2,1,1,2,1
cdu,CDU/CSU,1,99,99,99,99,99,99,2
spd,SPD,1,99,99,99,99,99,99,2
fdp,FDP,1,99,99,99,99,99,99,2
gruene,Die Grünen,1,99,99,99,99,99,99,1
db,Deutsche Bahn,1,99,99,99,99,99,99,2
drk,Deutsches Rotes Kreuz,1,99,99,99,99,99,99,2
bda,Bundesvereinigung der Deutschen Arbeitgeberverbände,1,99,99,99,99,99,99,2
bdew,Bundesverband der Energie- und Wasserwirtschaft,1,99,99,99,99,99,99,1
bdi,Bundesverband der Deutschen Industrie,1,99,99,99,99,99,99,2
ba,Bundesagentur für Arbeit,1,99,99,99,99,99,99,2
datev,Datev,1,99,99,99,99,99,99,2
bitkom,Bitkom,1,99,99,99,99,99,99,2
telekom,Telekom,1,99,99,99,99,99,99,1
mckinsey,McKinsey,1,99,99,99,99,99,99,1
vku,Verband Kommunaler Unternehmen,1,99,99,99,99,99,99,2
enbw,EnBW,1,99,99,99,99,99,99,1
diht,Deutscher Industrie- und Handelskammertag,1,99,99,99,99,99,99,2
alba,Alba Group,1,99,99,99,99,99,99,1
ihk,Industrie- und Handelskammer,1,99,99,99,99,99,99,2
bfb,Buirer für Buir,1,99,99,99,99,99,99,1
spremberger,Spremberger Tuche,1,99,99,99,99,99,99,2
leenrw,Landesverband Erneuerbare Energien NRW,1,99,99,99,99,99,99,2
igbce,"Industriegewerkschaft Bergbau, Chemie, Energie",1,99,99,99,99,99,99,2
verdi,Verdi,1,99,99,99,99,99,99,2
eon,Eon,1,99,99,99,99,99,99,1
dgb,Deutscher Gewerkschaftsbund,1,99,99,99,99,99,99,2
greenpeace,Greenpeace,1,99,99,99,99,99,99,1
bund,Bund für Umwelt und Naturschutz Deutschland,1,99,99,99,99,99,99,1
dnr,Dachverband Deutscher Naturschutzring,1,99,99,99,99,99,99,1
iab,Institut für Arbeitsmarkt- und Berufsforschung,1,99,99,99,99,99,99,2
wzb,Wissenschaftszentrum Berlin für Sozialforschung,1,99,99,99,99,99,99,2
oekoinstitut,Öko Institut,1,99,99,99,99,99,99,1
klimafolge,Institut für Klimafolgenforschung,1,99,99,99,99,99,99,1
stockholm,Stockholm Resilience Center,1,99,99,99,99,99,99,1
wbgu,Wissenschaftlicher Beirat der Bundesregierung für Globale Umweltveränderungen,1,99,99,99,99,99,99,1
fraunhofer,Fraunhofer Institut,1,99,99,99,99,99,99,2
agora,Thinktank Agora Energiewende,1,99,99,99,99,99,99,1
ipcc,Intergovernmental Panel on Climate Change,1,99,99,99,99,99,99,1
htw,Hochschule für Wirtschaft und Technik Berlin,,99,99,99,99,99,99,2
kk,Kohlekommission,,99,99,1,99,99,99,99
